date,region,product,units,unit_price
2024-07-23,West,Gadget,19,29.0
2024-04-26,West,Gizmo,33,99.0
2024-09-17,South,Gadget,1,29.0
2024-06-19,West,Widget,5,12.5
2024-04-08,North,Gadget,28,29.0
2024-10-15,North,Gizmo,22,99.0
2024-12-04,East,Gizmo,2,99.0
2024-12-27,North,Gadget,8,29.0
2024-08-06,East,Widget,26,12.5
2024-03-06,North,Gizmo,31,99.0
2024-02-25,South,Gadget,,29.0
2024-02-18,West,Widget,36,12.5
2024-04-11,South,Gizmo,35,99.0
2024-05-12,West,Gizmo,,99.0
2024-06-16,West,Gizmo,18,99.0
2024-02-06,West,Widget,1,12.5
2024-02-18,South,Gizmo,37,99.0
2024-09-20,North,Doohickey,12,4.75
2024-11-12,East,Gadget,,29.0
2024-04-04,South,Doohickey,5,4.75
2024-07-12,South,Gadget,3,29.0
2024-07-06,North,Gadget,23,29.0
2024-09-13,South,Gizmo,16,99.0
2024-09-03,West,Gadget,27,29.0
2024-01-27,East,Gizmo,4,99.0
2024-11-10,North,Doohickey,27,4.75
2024-03-13,North,Gadget,,29.0
2024-03-24,West,Gadget,4,29.0
2024-03-21,West,Doohickey,2,4.75
2024-06-26,South,Gadget,24,29.0
2024-08-19,West,Gizmo,,99.0
2024-09-19,East,Gadget,9,29.0
2024-07-22,South,Widget,2,12.5
2024-10-11,South,Doohickey,38,4.75
2024-05-22,West,Gizmo,9,99.0
2024-03-04,West,Gadget,7,29.0
2024-01-21,West,Gadget,10,29.0
2024-02-21,East,Widget,9,12.5
2024-09-11,West,Doohickey,32,4.75
2024-10-06,South,Gadget,12,29.0
